IBOV - Carteira do Dia 26/09/25
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON  ED  NM;466.632.333;0,544;
ABEV3;AMBEV S/A;ON;4.273.841.357;2,437;
ASAI3;ASSAI;ON      NM;1.344.470.815;0,564;
AURE3;AUREN;ON      NM;318.338.365;0,152;
AZZA3;AZZAS 2154;ON      NM;134.911.449;0,191;
B3SA3;B3;ON  EJ  NM;5.196.371.458;3,080;
BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,919;
BBDC3;BRADESCO;ON      N1;1.467.570.789;1,008;
BBDC4;BRADESCO;PN      N1;5.106.488.516;4,106;
BRAP4;BRADESPAR;PN      N1;250.973.136;0,197;
BBAS3;BRASIL;ON      NM;2.842.496.541;2,835;
BRKM5;BRASKEM;PNA     N1;265.876.767;0,100;
BRAV3;BRAVA;ON      NM;461.715.081;0,390;
BPAC11;BTGP BANCO;UNT     N2;1.404.794.900;3,044;
CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,393;
CEAB3;CEA MODAS;ON      NM;138.420.009;0,108;
CMIG4;CEMIG;PN      N1;1.904.057.894;0,974;
COGN3;COGNA ON;ON      NM;1.810.877.718;0,260;
CPLE6;COPEL;PNB     N2;1.671.982.390;0,970;
CSAN3;COSAN;ON      NM;1.148.010.756;0,327;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,337;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,402;
CURY3;CURY S/A;ON      NM;135.117.425;0,203;
CVCB3;CVC BRASIL;ON      NM;450.059.727;0,040;
CYRE3;CYRELA REALT;ON      NM;256.055.995;0,352;
DIRR3;DIRECIONAL;ON      NM;325.640.184;0,231;
ELET3;ELETROBRAS;ON      N1;1.821.923.647;4,202;
ELET6;ELETROBRAS;PNB     N1;270.513.025;0,658;
EMBR3;EMBRAER;ON      NM;733.564.938;2,686;
ENGI11;ENERGISA;UNT     N2;325.503.046;0,753;
ENEV3;ENEVA;ON      NM;1.912.620.486;1,431;
EGIE3;ENGIE BRASIL;ON      NM;255.215.967;0,470;
EQTL3;EQUATORIAL;ON      NM;1.246.479.596;2,090;
FLRY3;FLEURY;ON      NM;447.171.522;0,328;
GGBR4;GERDAU;PN      N1;1.276.025.309;0,975;
GOAU4;GERDAU MET;PN      N1;622.976.844;0,271;
HAPV3;HAPVIDA;ON      NM;311.257.700;0,527;
HYPE3;HYPERA;ON      NM;293.521.155;0,310;
IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,233;
IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,174;
ISAE4;ISA ENERGIA;PN      N1;395.801.044;0,431;
ITSA4;ITAUSA;PN      N1;5.853.286.928;3,024;
ITUB4;ITAUUNIBANCO;PN      N1;4.611.334.219;8,121;
KLBN11;KLABIN S/A;UNT     N2;784.510.115;0,654;
RENT3;LOCALIZA;ON  EJ  NM;977.042.684;1,780;
LREN3;LOJAS RENNER;ON  EJ  NM;1.000.358.705;0,720;
MGLU3;MAGAZ LUIZA;ON      NM;355.414.674;0,179;
POMO4;MARCOPOLO;PN      N2;661.573.516;0,277;
MBRF3;MARFRIG;ON      NM;708.146.298;0,637;
BEEF3;MINERVA;ON      NM;433.648.983;0,127;
MOTV3;MOTIVA SA;ON      NM;988.559.510;0,664;
MRVE3;MRV;ON      NM;375.402.024;0,128;
MULT3;MULTIPLAN;ON      N2;314.022.221;0,412;
NATU3;NATURA;ON      NM;839.505.097;0,353;
PCAR3;P.ACUCAR-CBD;ON      NM;433.412.603;0,084;
PETR3;PETROBRAS;ON      N2;2.643.091.977;4,258;
PETR4;PETROBRAS;PN      N2;4.410.960.450;6,533;
RECV3;PETRORECSA;ON      NM;274.720.419;0,164;
PRIO3;PETRORIO;ON      NM;762.764.253;1,367;
PSSA3;PORTO SEGURO;ON  EJ  NM;181.016.454;0,411;
RADL3;RAIADROGASIL;ON      NM;1.285.713.898;1,037;
RAIZ4;RAIZEN;PN      N2;1.226.933.170;0,057;
RDOR3;REDE D OR;ON  EJ  NM;1.091.469.308;2,037;
RAIL3;RUMO S.A.;ON      NM;1.215.488.549;0,842;
SBSP3;SABESP;ON      NM;596.215.913;3,527;
SANB11;SANTANDER BR;UNT;360.347.199;0,471;
CSNA3;SID NACIONAL;ON;727.975.012;0,265;
SLCE3;SLC AGRICOLA;ON      NM;197.693.014;0,149;
SMFT3;SMART FIT;ON      NM;427.078.008;0,502;
SUZB3;SUZANO S.A.;ON      NM;645.082.079;1,483;
TAEE11;TAESA;UNT     N2;218.568.234;0,362;
VIVT3;TELEF BRASIL;ON  EJ;738.065.812;1,116;
TIMS3;TIM;ON      NM;804.628.136;0,843;
TOTS3;TOTVS;ON  EJ  NM;533.261.054;1,109;
UGPA3;ULTRAPAR;ON      NM;1.071.443.332;1,049;
USIM5;USIMINAS;PNA     N1;459.046.773;0,093;
VALE3;VALE;ON      NM;4.267.772.018;11,370;
VAMO3;VAMOS;ON      NM;498.192.519;0,082;
VBBR3;VIBRA;ON      NM;1.112.563.218;1,225;
VIVA3;VIVARA S.A.;ON      NM;123.160.591;0,160;
WEGE3;WEG;ON      NM;1.485.954.732;2,472;
YDUQ3;YDUQS PART;ON      NM;260.753.144;0,153;
Quantidade Teórica Total;;;90.587.133.892;100,000
Redutor;;;15.037.394,61951331
